dristrito,poblacion 
baru,58.608
boqueron,16.281
boquete,23.405
bugaba,83.960
david,174.083
dolega,26.882
gualaca,10.433
remedios,4.337
renacimiento,21.499
san felix,6.826
san lorenzo,8.045
tole,2.712
alanje,17.647
